step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-1.876054958011020179e+00,3.379215131588120258e-05,-4.690137395027549871e+01,8.448037828970298476e-04
1.000000000000000000e+02,-1.441320032031323750e+00,3.566446638938314262e-02,-3.603300080078308554e+01,8.916116597345783434e-01
1.500000000000000000e+02,-1.186420215517653087e+00,-3.849799342648395351e-02,-2.966050538794132052e+01,-9.624498356620986295e-01
2.000000000000000000e+02,-1.003971964084627633e+00,-1.021988252843797074e-01,-2.509929910211568682e+01,-2.554970632109492268e+00
2.500000000000000000e+02,-8.911474864426832676e-01,-1.118199556058422917e-01,-2.227868716106707581e+01,-2.795498890146056681e+00
3.000000000000000000e+02,-7.687562972925660043e-01,-9.125864675287118088e-02,-1.921890743231414689e+01,-2.281466168821779217e+00
3.500000000000000000e+02,-6.738471093165606662e-01,-1.068280902547876221e-01,-1.684617773291401477e+01,-2.670702256369689831e+00
4.000000000000000000e+02,-6.208489716378340351e-01,-1.388787514986404292e-01,-1.552122429094584710e+01,-3.471968787466010120e+00
4.500000000000000000e+02,-5.785913447654145170e-01,-1.747222842482989424e-01,-1.446478361913536048e+01,-4.368057106207472451e+00
5.000000000000000000e+02,-5.428752773830480827e-01,-2.068112661697112109e-01,-1.357188193457619896e+01,-5.170281654242779190e+00
5.500000000000000000e+02,-5.136644432747690114e-01,-2.154503425961300234e-01,-1.284161108186922284e+01,-5.386258564903249280e+00
6.000000000000000000e+02,-4.962402312342077959e-01,-2.192425371661246292e-01,-1.240600578085519246e+01,-5.481063429153114619e+00
6.500000000000000000e+02,-4.889073909542394070e-01,-2.237781247844192745e-01,-1.222268477385598295e+01,-5.594453119610481195e+00
7.000000000000000000e+02,-4.903813935338967034e-01,-2.161192863976728884e-01,-1.225953483834741498e+01,-5.402982159941821294e+00
7.500000000000000000e+02,-4.983017638391266657e-01,-2.007527409643969363e-01,-1.245754409597816448e+01,-5.018818524109922130e+00
8.000000000000000000e+02,-5.120464783775824369e-01,-1.812639849901784561e-01,-1.280116195943955759e+01,-4.531599624754460542e+00
8.500000000000000000e+02,-5.316994761891855603e-01,-1.615681619851355721e-01,-1.329248690472963723e+01,-4.039204049628388304e+00
9.000000000000000000e+02,-5.577451282545548006e-01,-1.449110154079755464e-01,-1.394362820636386679e+01,-3.622775385199387799e+00
9.500000000000000000e+02,-5.912290564211407640e-01,-1.248579248634868466e-01,-1.478072641052851566e+01,-3.121448121587170554e+00
