step,drag,lift,cd,cl
0.000000000000000000e+00,-1.896000000000014651e+01,-2.666666666652781070e-02,-1.645833333333345934e+02,-2.314814814802761134e-01
1.000000000000000000e+02,-1.115476708965601205e+01,2.149054666398985403e-01,-9.682957543104176068e+01,1.865498842360230114e+00
2.000000000000000000e+02,-8.688413740283417397e+00,-1.899273899421224931e-02,-7.542025816218243506e+01,-1.648675259914257618e-01
3.000000000000000000e+02,-7.076733983657259586e+00,-7.470182369239066755e-01,-6.142998249702481672e+01,-6.484533306631133698e+00
4.000000000000000000e+02,-5.882477179918794263e+00,-6.505902746736734743e-01,-5.106316996457286450e+01,-5.647485023208970389e+00
5.000000000000000000e+02,-5.283549579704760468e+00,-2.428131852798931234e-01,-4.586414565715937641e+01,-2.107753344443516585e+00
6.000000000000000000e+02,-4.930015689707070159e+00,1.629949914119886434e-01,-4.279527508426275517e+01,1.414887078229067896e+00
7.000000000000000000e+02,-4.795684291718990799e+00,2.757938853112611999e-01,-4.162920392117179347e+01,2.394044143326919727e+00
8.000000000000000000e+02,-4.782976532624776844e+00,2.537633492372812771e-01,-4.151889351236785330e+01,2.202806851018066503e+00
9.000000000000000000e+02,-4.781997354134856160e+00,1.292839807496928839e-01,-4.151039369908728816e+01,1.122256777341083867e+00
1.000000000000000000e+03,-4.601150660429982331e+00,-7.000471539329806980e-02,-3.994054392734359027e+01,-6.076798211223790602e-01
1.100000000000000000e+03,-4.304966762540995084e+00,-2.855439862581340971e-01,-3.736950314705724452e+01,-2.478680436268525078e+00
1.200000000000000000e+03,-4.073326176463415216e+00,-3.559312911067161189e-01,-3.535873417068936675e+01,-3.089681346412465945e+00
1.300000000000000000e+03,-3.933134889331939998e+00,-2.661588263176818403e-01,-3.414179591433975247e+01,-2.310406478452099233e+00
1.400000000000000000e+03,-3.841838950789839835e+00,-1.434400180807757219e-01,-3.334929644782846481e+01,-1.245139045840066849e+00
1.500000000000000000e+03,-3.761534443499699787e+00,-1.232480640369284369e-02,-3.265220871093489308e+01,-1.069861666987225873e-01
1.600000000000000000e+03,-3.681047663585772511e+00,7.514311753870642208e-02,-3.195353874640427350e+01,6.522840064123820447e-01
1.700000000000000000e+03,-3.592156102525576156e+00,9.836489382399543624e-02,-3.118191061220117888e+01,8.538619255555158771e-01
1.800000000000000000e+03,-3.498486415236091052e+00,7.681527040144714435e-02,-3.036880568781328904e+01,6.667992222347841613e-01
1.900000000000000000e+03,-3.412159750446642992e+00,2.273829355846569700e-02,-2.961944227818266384e+01,1.973810204727924900e-01
2.000000000000000000e+03,-3.337726003290290233e+00,-3.002320861266891128e-02,-2.897331600078376823e+01,-2.606181303183064957e-01
2.100000000000000000e+03,-3.270730086027855865e+00,-5.715765430298521549e-02,-2.839175421899180307e+01,-4.961601936023021797e-01
2.200000000000000000e+03,-3.218311123930819306e+00,-5.742191024034758173e-02,-2.793672850634391480e+01,-4.984540819474616025e-01
2.300000000000000000e+03,-3.174294915826423313e+00,-3.608130622020370298e-02,-2.755464336654880952e+01,-3.132057831614904475e-01
2.400000000000000000e+03,-3.137885844478132125e+00,-1.295880992545517252e-03,-2.723859239998378357e+01,-1.124896694917983629e-02
2.500000000000000000e+03,-3.122214221867097628e+00,3.791497183091187967e-02,-2.710255400926299885e+01,3.291230193655544922e-01
2.600000000000000000e+03,-3.127182644443863069e+00,8.092513604560838680e-02,-2.714568267746408736e+01,7.024751392847949916e-01
2.700000000000000000e+03,-3.128956122574412912e+00,1.371622200795555302e-01,-2.716107745290288733e+01,1.190644271523919384e+00
