step,drag,lift,cd,cl
0.000000000000000000e+00,-1.640000000000012292e+01,-7.999999999988724464e-02,-1.653225806451625033e+02,-8.064516129020891100e-01
1.000000000000000000e+02,-3.915653931691128520e+00,5.426326835903211299e-01,-3.947231785978959806e+01,5.470087536192752786e+00
2.000000000000000000e+02,-2.884115274541393159e+00,1.779800514905927056e-01,-2.907374268690920260e+01,1.794153744864845690e+00
3.000000000000000000e+02,-2.397216848287534674e+00,-8.294529039432180229e-02,-2.416549242225337224e+01,-8.361420402653406692e-01
4.000000000000000000e+02,-2.028882594241289361e+00,-3.308934919499659788e-01,-2.045244550646460979e+01,-3.335619878527882332e+00
5.000000000000000000e+02,-1.882392831907311992e+00,-1.569589252839911075e-01,-1.897573419261403060e+01,-1.582247230685394079e+00
6.000000000000000000e+02,-1.754789815200329839e+00,-1.277315505297382803e-01,-1.768941345968074330e+01,-1.287616436791716445e+00
7.000000000000000000e+02,-1.643508724234085561e+00,-1.489937182060145360e-01,-1.656762826848876458e+01,-1.501952804496114124e+00
8.000000000000000000e+02,-1.549903257093661280e+00,-2.385016650052608211e-01,-1.562402476908932591e+01,-2.404250655294967842e+00
9.000000000000000000e+02,-1.481058104050243740e+00,-2.578291755180343592e-01,-1.493002121018390760e+01,-2.599084430625345998e+00
1.000000000000000000e+03,-1.435860636024499648e+00,-2.404922131627551807e-01,-1.447440157282761675e+01,-2.424316664947128608e+00
1.100000000000000000e+03,-1.413613552925295336e+00,-2.065312034867450297e-01,-1.425013662223079791e+01,-2.081967777084122950e+00
1.200000000000000000e+03,-1.401579033670603547e+00,-1.928488882242824776e-01,-1.412882090393753387e+01,-1.944041211938331237e+00
1.300000000000000000e+03,-1.389270808054036133e+00,-1.973011567079028528e-01,-1.400474604893181407e+01,-1.988922950684504309e+00
1.400000000000000000e+03,-1.373212698111874408e+00,-2.090472312418527878e-01,-1.384286994064389376e+01,-2.107330960099322414e+00
1.500000000000000000e+03,-1.357693971587450088e+00,-2.116228034521768775e-01,-1.368643116519606728e+01,-2.133294389638879629e+00
1.600000000000000000e+03,-1.346144342661551141e+00,-2.042377380976689027e-01,-1.357000345424950538e+01,-2.058848166307146066e+00
1.700000000000000000e+03,-1.331423503511329098e+00,-1.962364252381307295e-01,-1.342160789829968692e+01,-1.978189770545672577e+00
