step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-2.029116944500273245e+00,-1.678164741496939449e-01,-5.072792361250682092e+01,-4.195411853742347930e+00
1.000000000000000000e+02,-1.426549767969897076e+00,-6.918299301532662704e-02,-3.566374419924741801e+01,-1.729574825383165315e+00
1.500000000000000000e+02,-1.130216236105160421e+00,-2.418468118103023201e-01,-2.825540590262900409e+01,-6.046170295257557115e+00
2.000000000000000000e+02,-9.252524225960180315e-01,-2.532536946657677479e-01,-2.313131056490044557e+01,-6.331342366644192587e+00
2.500000000000000000e+02,-8.023930023877229312e-01,-2.380741111899763451e-01,-2.005982505969306828e+01,-5.951852779749407851e+00
3.000000000000000000e+02,-6.648466381292725824e-01,-2.835359874397455626e-01,-1.662116595323181301e+01,-7.088399685993637789e+00
3.500000000000000000e+02,-5.455634401584756876e-01,-2.695178777226017175e-01,-1.363908600396188930e+01,-6.737946943065042049e+00
4.000000000000000000e+02,-4.822579466379770530e-01,-2.688406566656140195e-01,-1.205644866594942322e+01,-6.721016416640349433e+00
4.500000000000000000e+02,-4.324554633174664264e-01,-2.818966696224786128e-01,-1.081138658293665777e+01,-7.047416740561963877e+00
5.000000000000000000e+02,-3.958374319199494673e-01,-2.726175516811578659e-01,-9.895935797998735239e+00,-6.815438792028944981e+00
5.500000000000000000e+02,-3.687054744425158903e-01,-2.541486610791400813e-01,-9.217636861062896259e+00,-6.353716526978501200e+00
6.000000000000000000e+02,-3.570582138664036842e-01,-2.538310369835072300e-01,-8.926455346660089774e+00,-6.345775924587679917e+00
6.500000000000000000e+02,-3.532950287610079343e-01,-2.382129103801777781e-01,-8.832375719025197469e+00,-5.955322759504443120e+00
7.000000000000000000e+02,-3.565450247672677375e-01,-2.200390298475848327e-01,-8.913625619181692272e+00,-5.500975746189619819e+00
